species,site,age,age2,branch_age,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,,,
BAER,Wilunga2012,1.4,1.35,young,4,8,32,0.1508,6.86323,0.022,,,
BAER,Wilunga2012,1.4,1.35,mid,4,8,32,0.2018,9.09808,0.0222,,,
BAER,Wilunga2012,1.4,1.35,old,4,5,16,0.2952,15.74846,0.0187,,,
BOLE,Wilunga2012,1.4,1.35,young,4,2,30,0.1968,15.7262,0.0125,,,
BOLE,Wilunga2012,1.4,1.35,mid,5,2,10,0.4029,37.94444,0.0106,,,
BOLE,Wilunga2012,1.4,1.35,old,5,2,10,0.189,19.04804,0.0099,,,
BOLE,Wilunga2012,1.4,1.35,very old,3,2,6,0.0306,2.77587,0.011,,,
COER,Wilunga2012,1.4,1.35,young,1,8,8,0.0084,0.4563,0.0184,,,
COER,Wilunga2012,1.4,1.35,mid,4,6,24,0.0661,4.33088,0.0153,,,
COER,Wilunga2012,1.4,1.35,old,4,4,15,0.0707,3.85094,0.0184,,,
EPMI,Wilunga2012,1.4,1.35,young,4,10,42,0.0246,3.36085,0.0073,,,
EPMI,Wilunga2012,1.4,1.35,mid,4,10,39,0.0205,1.68492,0.0122,,,
EPMI,Wilunga2012,1.4,1.35,old,3,10,29,0.0126,1.02046,0.0123,,,
GRBU,Wilunga2012,1.4,1.35,young,3,8,25,0.1343,11.67409,0.012,,,
GRBU,Wilunga2012,1.4,1.35,mid,4,6,23,0.2718,23.47865,0.012,,,
GRBU,Wilunga2012,1.4,1.35,old,3,1.5,5,0.1211,9.46511,0.013,,,
GRSP,Wilunga2012,1.4,1.35,young,4,8,30,0.3851,24.02073,0.016,,,
GRSP,Wilunga2012,1.4,1.35,mid,5,4,20,0.425,28.6432,0.015,,,
GRSP,Wilunga2012,1.4,1.35,old,4,2,10,0.4599,30.6315,0.015,,,
HATE,Wilunga2012,1.4,1.35,young,4,4,17,1.0908,25.1089,0.0434,,,
HATE,Wilunga2012,1.4,1.35,mid,4,4,16,1.3993,31.57994,0.0443,,,
HATE,Wilunga2012,1.4,1.35,old,4,2,8,0.1105,3.32356,0.0332,,,
HEPU,Wilunga2012,1.4,1.35,young,1,14,15,0.0131,1.32357,0.0099,,,
HEPU,Wilunga2012,1.4,1.35,mid,1,14,14,0.012,0.96566,0.0124,,,
HEPU,Wilunga2012,1.4,1.35,old,1,10,10,0.0061,0.50342,0.0121,,,
LEES,Wilunga2012,1.4,1.35,young,4,6,24,0.1043,11.61641,0.009,,,
LEES,Wilunga2012,1.4,1.35,mid,4,6,26,0.072,7.04821,0.01,,,
LEES,Wilunga2012,1.4,1.35,old,4,8,33,0.0183,2.02463,0.009,,,
PELA,Wilunga2012,1.4,1.35,young,4,2,8,1.001,58.38399,0.017,,,
PELA,Wilunga2012,1.4,1.35,mid,4,2,8,0.3069,17.67178,0.017,,,
PELA,Wilunga2012,1.4,1.35,old,3,2,6,0.0368,2.24339,0.016,,,
PEPU,Wilunga2012,1.4,1.35,young,3,2,6,0.1611,10.4298,0.015,,,
PEPU,Wilunga2012,1.4,1.35,mid,4,2,8,0.1061,6.70285,0.016,,,
PEPU,Wilunga2012,1.4,1.35,old,3,3,9,0.0386,2.35871,0.016,,,
PHPH,Wilunga2012,1.4,1.35,young,3,10,30,0.0374,2.68933,0.014,,,
PHPH,Wilunga2012,1.4,1.35,mid,4,10,43,0.0922,5.72816,0.016,,,
PHPH,Wilunga2012,1.4,1.35,old,4,10,40,0.0432,3.57613,0.012,,,
PILI,Wilunga2012,1.4,1.35,young,4,8,32,0.0328,4.67619,0.007,,,
PILI,Wilunga2012,1.4,1.35,mid,4,8,31,0.0194,2.7973,0.007,,,
PUTU,Wilunga2012,1.4,1.35,young,4,8,32,0.0331,5.48322,0.006,,,
PUTU,Wilunga2012,1.4,1.35,mid,4,8,32,0.0678,6.9255,0.0098,,,
PUTU,Wilunga2012,1.4,1.35,old,4,6,24,0.0476,7.14911,0.0067,,,
BAER,Waratah2011,2.4,2.4,young,4,12,50,0.1807,7.60763,0.0238,,,
BAER,Waratah2011,2.4,2.4,mid,4,10,46,0.2646,10.01597,0.0264,,,
BAER,Waratah2011,2.4,2.4,old,4,5,20,0.1492,6.78503,0.022,,,
BOLE,Waratah2011,2.4,2.4,young,4,5,19,0.2255,10.65122,0.0212,,,
BOLE,Waratah2011,2.4,2.4,mid,4,4,14,0.3057,16.96019,0.018,,,
BOLE,Waratah2011,2.4,2.4,old,4,4,15,0.4354,28.83665,0.0151,,,
COER,Waratah2011,2.4,2.4,young,4,10,37,0.0403,3.91287,0.0103,,,
COER,Waratah2011,2.4,2.4,mid,4,11,44,0.0733,4.38174,0.0167,,,
COER,Waratah2011,2.4,2.4,old,4,5,20,0.0993,5.14179,0.0193,,,
EPMI,Waratah2011,2.4,2.4,young,4,7,27,0.0156,1.5955,0.0098,,,
EPMI,Waratah2011,2.4,2.4,mid,4,6,24,0.0227,1.88292,0.0121,,,
EPMI,Waratah2011,2.4,2.4,old,4,7,30,0.0136,1.05539,0.0129,,,
GRBU,Waratah2011,2.4,2.4,young,4,4,16,0.1477,12.77222,0.012,,,
GRBU,Waratah2011,2.4,2.4,mid,4,5,20,0.1822,14.0525,0.013,,,
GRBU,Waratah2011,2.4,2.4,old,4,5,20,0.2247,17.8897,0.013,,,
GRSP,Waratah2011,2.4,2.4,young,4,4,16,0.1849,11.48686,0.016,,,
GRSP,Waratah2011,2.4,2.4,mid,4,4,16,0.2551,13.83792,0.018,,,
GRSP,Waratah2011,2.4,2.4,old,4,4,16,0.3251,16.39995,0.02,,,
HATE,Waratah2011,2.4,2.4,young,4,3,12,0.9566,17.90268,0.0534,,,
HATE,Waratah2011,2.4,2.4,mid,4,3,12,1.2658,22.99951,0.055,,,
HATE,Waratah2011,2.4,2.4,old,3,3,8,0.7946,15.98405,0.0497,,,
HEPU,Waratah2011,2.4,2.4,young,5,8,40,0.0767,3.41478,0.0225,,,
HEPU,Waratah2011,2.4,2.4,mid,5,8,40,0.0899,3.99098,0.0225,,,
HEPU,Waratah2011,2.4,2.4,old,4,8,32,0.0675,3.06258,0.022,,,
LEES,Waratah2011,2.4,2.4,young,5,4,20,0.1352,10.26882,0.013,,,
LEES,Waratah2011,2.4,2.4,mid,5,4,20,0.1528,12.1381,0.013,,,
PELA,Waratah2011,2.4,2.4,young,4,1,4,0.9286,47.78266,0.019,,,
PELA,Waratah2011,2.4,2.4,mid,4,1,5,0.8799,47.45395,0.019,,,
PELA,Waratah2011,2.4,2.4,old,4,2,8,0.2257,14.51281,0.016,,,
PHPH,Waratah2011,2.4,2.4,young,5,8,40,0.0834,5.3578,0.016,,,
