species,replicate,individual,site,age,date_tagged,mature,use_for_allocation_calculations,use_for_allometric_equations,reason
BAER,1,BAER_001,Basin2005,7,15-Mar-12,TRUE,TRUE,TRUE,
BAER,2,BAER_002,Basin2005,7,1-May-12,TRUE,TRUE,TRUE,
BAER,3,BAER_003,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BAER,4,BAER_004,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BAER,5,BAER_005,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BAER,6,BAER_006,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BAER,7,BAER_007,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BAER,101,BAER_101,Waratah2011,1.4,3-May-12,FALSE,TRUE,TRUE,
BAER,102,BAER_102,Waratah2011,1.4,3-May-12,FALSE,TRUE,TRUE,
BAER,103,BAER_103,Waratah2011,1.4,3-May-12,FALSE,TRUE,TRUE,
BAER,104,BAER_104,Waratah2011,1.4,3-May-12,FALSE,TRUE,TRUE,
BAER,105,BAER_105,Waratah2011,1.4,4-May-12,FALSE,TRUE,TRUE,
BAER,106,BAER_106,Waratah2011,1.4,4-May-12,FALSE,TRUE,TRUE,
BAER,107,BAER_107,Waratah2011,1.4,4-May-12,FALSE,TRUE,TRUE,
BAER,401,BAER_401,Basin2007,5,20-Apr-12,FALSE,TRUE,TRUE,
BAER,402,BAER_402,Basin2007,5,20-Apr-12,FALSE,TRUE,TRUE,
BAER,403,BAER_403,Basin2007,5,26-Apr-12,FALSE,TRUE,TRUE,
BAER,404,BAER_404,Basin2007,5,26-Apr-12,TRUE,TRUE,TRUE,
BAER,405,BAER_405,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
BAER,406,BAER_406,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
BAER,407,BAER_407,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
BAER,801,BAER_801,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
BAER,802,BAER_802,Waratah2003,9,17-May-12,FALSE,TRUE,TRUE,
BAER,803,BAER_803,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
BAER,804,BAER_804,Waratah2003,9,17-May-12,FALSE,TRUE,TRUE,
BAER,805,BAER_805,Waratah2003,9,17-May-12,FALSE,TRUE,TRUE,
BAER,806,BAER_806,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
BAER,807,BAER_807,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
BAER,901,BAER_901,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,902,BAER_902,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,903,BAER_903,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,904,BAER_904,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,905,BAER_905,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,906,BAER_906,Basin1981,32,14-Jun-12,TRUE,TRUE,TRUE,
BAER,907,BAER_907,Basin1981,32,19-Jun-12,TRUE,TRUE,TRUE,
BOLE,1,BOLE_001,Basin2005,7,15-Mar-12,TRUE,TRUE,TRUE,
BOLE,2,BOLE_002,Basin2005,7,23-Mar-12,TRUE,TRUE,TRUE,
BOLE,3,BOLE_003,Basin2005,7,23-Mar-12,TRUE,TRUE,TRUE,
BOLE,4,BOLE_004,Basin2005,7,23-Mar-12,TRUE,TRUE,TRUE,
BOLE,6,BOLE_006,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BOLE,7,BOLE_007,Basin2005,7,3-May-12,TRUE,TRUE,TRUE,
BOLE,8,BOLE_008,Basin2005,7,1-Jun-12,TRUE,TRUE,TRUE,
BOLE,101,BOLE_101,Waratah2011,1.4,4-May-12,TRUE,TRUE,TRUE,
BOLE,105,BOLE_105,Waratah2011,1.4,4-May-12,TRUE,TRUE,TRUE,
BOLE,110,BOLE_110,Waratah2011,1.4,15-Jun-12,TRUE,TRUE,TRUE,
BOLE,111,BOLE_111,Waratah2011,1.4,15-Jun-12,TRUE,TRUE,TRUE,
BOLE,112,BOLE_112,Waratah2011,1.4,15-Jun-12,TRUE,TRUE,TRUE,
BOLE,113,BOLE_113,Waratah2011,1.4,18-May-12,TRUE,TRUE,TRUE,
BOLE,114,BOLE_114,Waratah2011,1.4,9-Aug-12,TRUE,TRUE,TRUE,
BOLE,115,BOLE_115,Waratah2011,1.4,9-Aug-12,TRUE,TRUE,TRUE,
BOLE,116,BOLE_116,Waratah2011,1.4,30-Aug-12,TRUE,TRUE,TRUE,
BOLE,117,BOLE_117,Waratah2011,1.4,2-Nov-12,TRUE,TRUE,TRUE,
BOLE,119,BOLE_119,Waratah2011,1.4,29-Jun-12,TRUE,TRUE,TRUE,
BOLE,401,BOLE_401,Basin2007,5,20-Apr-12,TRUE,TRUE,TRUE,
BOLE,402,BOLE_402,Basin2007,5,20-Apr-12,TRUE,TRUE,TRUE,
BOLE,403,BOLE_403,Basin2007,5,20-Apr-12,TRUE,TRUE,TRUE,
BOLE,404,BOLE_404,Basin2007,5,26-Apr-12,TRUE,TRUE,TRUE,
BOLE,405,BOLE_405,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
BOLE,407,BOLE_407,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
BOLE,408,BOLE_408,Basin2007,5,1-Jun-12,TRUE,TRUE,TRUE,
BOLE,801,BOLE_801,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
