tag_ID,diameter_start,length_start,diameter_end,new_length,segment,leaves_start_length,leaves_start_count,leaves_finish_length,leaves_end_count,leaves_new,leaves_new_count,new&shed,
BAER_101,222,185,318,110,1,,88,,54,110,,,counts of juvenile leaves
BAER_102,100,68,239,62,1,,18,,2,28,12,,counts of juvenile leaves
BAER_103,132,90,215,124,1,,22,,12,124,,,counts of juvenile leaves
BAER_104,99,67,215,176,NA,,32,,17,141,22,,counts of juvenile leaves
BAER_105,177,135,460,237,1,,43,,20,237,,,counts of juvenile leaves
BAER_106,139,95,282,105,1,77,,,3,80,6,,initial length = juv leaves
BAER_107,62,38,149,85,2,,22,,10,81,2,,
BOLE_101,60,30,167,103,1,,10,,0,,22,,
BOLE_105,64,14,488,431,1,,6,,0,,75,,
BOLE_110,166,110,259,201,1,,18,,5,,19,,
BOLE_111,96,65,188,168,1,,14,,5,,26,,
BOLE_112,97,90,186.6666667,203,1,,14,,5,,26,,
BOLE_113,141,110,289.6666667,388,1,,14,,4,,24,,
BOLE_114,108.6666667,105,298.6666667,230,1,,18,,5,,21,,
BOLE_115,135.3333333,130,260.6666667,186,1,,20,,7,,20,,
BOLE_116,,,,,,,,,,,,,
BOLE_117,154.6666667,50,333.6666667,365,2,,30,,15,,46,,initial length approximate
BOLE_119,96,65,353.3333333,325,1,,14,,0,,41,5,
EPMI_101,67,57,187,136,1,52,,,15,136,,,
EPMI_102,56,48,109,79,1,48,,,16,79,,,
EPMI_104,64,47,103.3333333,108,1,41,,8,,108,,,
EPMI_105,62,52,101.3333333,103,1,50,,37,,103,,,
EPMI_106,32,28,107.6666667,133,1,28,,,5,133,,,14.66666667
EPMI_108,73,44,174,78,1,39,,,22,74,,,
EPMI_109,,,,,,,,,,,,,
EPMI_111,,,,,,,,,,,,,
EPMI_112,,,,,,,,,,,,,
EPMI_113,,,,,,,,,,,,,
EPMI_116,,,,,,,,,,,,,
GRBU_155,,,,,,,,,,,,,
GRSP_101,143,98,288,173,1,,10,,10,,67,,
GRSP_102,,,,,,,,,,,,,
GRSP_103,,,,,,,,,,,,,
GRSP_104,,,,,,,,,,,,,
GRSP_105,,,,,,,,,,,,,
GRSP_106,,,,,,,,,,,,,
GRSP_107,,,,,,,,,,,,,
GRSP_110,,,,,,,,,,,,,
GRSP_111,,,,,,,,,,,,,
GRSP_112,,,,,,,,,,,,,
GRSP_114,,,,,,,,,,,,,
GRSP_116,,,,,,,,,,,,,
HATE_102,,,,,,,,,,,,,
HATE_103,,,,,,,,,,,,,
HATE_104,,,,,,,,,,,,,
HATE_105,,,,,,,,,,,,,
HATE_106,,,,,,,,,,,,,
HATE_107,,,,,,,,,,,,,
HATE_108,,,,,,,,,,,,,
HEPU_106,,,,,,,,,,,,,
HEPU_107,,,,,,,,,,,,,
HEPU_108,,,,,,,,,,,,,
HEPU_109,,,,,,,,,,,,,
HEPU_110,,,,,,,,,,,,,
HEPU_111,,,,,,,,,,,,,
HEPU_112,,,,,,,,,,,,,
HEPU_113,,,,,,,,,,,,,
LEES_102,,,,,,,,,,,,,
LEES_110,,,,,,,,,,,,,
LEES_114,,,,,,,,,,,,,
LEES_151,,,,,,,,,,,,,
PELA_103,,,,,,,,,,,,,
PELA_104,,,,,,,,,,,,,
PELA_108,,,,,,,,,,,,,
PELA_113,,,,,,,,,,,,,
PELA_118,,,,,,,,,,,,,
