species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,status,diameter,length,stem_weight_collected,leaf_weight_collected,notes
BAER,105,BAER_105,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,shed&collected,0.52,,57.6,,
BOLE,104,BOLE_104,Waratah2011,1.4,1.4,,end,17,,2013,2013,dead-missing,.49;.48,12;10,,,basal branch;normal turnover
EPMI,106,EPMI_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,nipped-missing,NA,NA,,,"just have information that shoot nipped, but still longer than at previous census"
GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,dead-missing,0.6,15,,,basal branch;normal turnover
HEPU,107,HEPU_107,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,dead-missing,.45;.47,20;25,,,basal branch;normal turnover
HEPU,108,HEPU_108,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,broken-dead,check,check,,,check envelope
HEPU,109,HEPU_109,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,nipped-missing,.41;.43;.50;.31;.39;.84,37;40;36;22;27;55,,,
HEPU,112,HEPU_112,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,dead-missing,.41;.47,22;10,,,basal branch;normal turnover
PELA,113,PELA_113,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,nipped-missing,1.2,17,,,
PILI,107,PILI_107,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,nipped-missing,.94;.30,18;27,,,
PUTU,107,PUTU_107,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,shed&collected,check,check,24.4,,
PUTU,108,PUTU_108,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,shed&collected,check,check,15.7,32.5,died from misadventure?
EPMI,302,EPMI_302,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,0.32,6,,,
GRBU,305,GRBU_305,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,1.36,11,,,
GRBU,305,GRBU_305,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,shed&collected,check,check,47.4,0,
GRBU,306,GRBU_306,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,shed&collected,check,check,66.9,0,
GRBU,307,GRBU_307,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,NA,NA,,,"just have information that shoot nipped, but still longer than at previous census"
GRBU,311,GRBU_311,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,NA,`,,,"just have information that 3 shoot nipped, but still longer than at previous census"
GRBU,311,GRBU_311,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,shed&collected,check,check,26.4,0,
GRBU,313,GRBU_313,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,shed&collected,check,check,22.3,0,
GRSP,306,GRSP_306,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,shed&collected,check,check,32,0,
GRSP,307,GRSP_307,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,1.49,13,,,
HATE,302,HATE_302,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,NA,NA,,,"just have information that shoot nipped, but still longer than at previous census"
HATE,308,HATE_308,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,NA,NA,,,"just have information that shoot nipped, but still longer than at previous census"
HATE,310,HATE_310,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,2.04,4,,,
PELA,302,PELA_302,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,check,check,,,"just have information that shoot nipped, but still longer than at previous census"
PELA,322,PELA_322,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,1.4,7,,,
PILI,303,PILI_303,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,0.32,28,,,
PILI,304,PILI_304,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,0.35,7,,,
PILI,306,PILI_306,Wilunga2012,1.4,1.35,7-Aug-14,end,30,,2014,2014,nipped-missing,0.48,70,,,
PILI,312,PILI_312,Wilunga2012,1.4,1.35,6-Aug-14,end,30,,2014,2014,nipped-missing,0.43,10,,,
BAER,154,BAER_154,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,shed&collected,1.23,,34.6,0,basal branch;normal turnover
BAER,155,BAER_155,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,0.98,75,,,basal branch;normal turnover
BOLE,154,BOLE_154,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,1.13,,,,basal branch;normal turnover
BOLE,157,BOLE_157,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,0.62,45,,,basal branch;normal turnover
EPMI,151,EPMI_151,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,nipped-missing,0.8,12,,,"second nipped branch, but new, so don't know amount nipped"
EPMI,152,EPMI_152,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,nipped-missing,1.21,20,,,
EPMI,154,EPMI_154,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,nipped-missing,0.93,15,,,
