sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_001_leaves,435.3,BAER,Wilunga2012,1.4,BAER_303,leaves,leaves,leaves,live,use,1020,72,0.432,7.8,54,0.312,0.109,88,1285,357,0.141,26,47.4,2.12
MQ_002_leaves,981.5,BAER,Waratah2011,2.4,BAER_154,leaves,leaves,leaves,live,use,835,33,0.359,3,25,0.198,0.077,207,2211,221,0.123,26,48.5,1.477
MQ_003_leaves,897.8,BAER,Basin2005,7,BAER_005,leaves,leaves,leaves,live,use,1095,22,0.344,2,16,0.184,0.117,106,1689,150,0.105,7,49.8,1.501
MQ_004_leaves,1261.3,BAER,Waratah2003,9,BAER_805,leaves,leaves,leaves,live,use,930,36,0.358,1.8,23,0.234,0.095,51,1693,174,0.141,5,48.6,1.496
MQ_005_leaves,1183.1,BAER,Basin1981,32,BAER_905,leaves,leaves,leaves,live,use,526,32,0.105,1.9,15,0.233,0.127,29,2484,165,0.122,5,49.7,1.512
MQ_006_senescent leaves,200.7,BAER,Waratah2011,2.4,BAER,senescent_leaves,senescent_leaves,leaves,dead,use,954,23,0.519,0.8,39,0.067,0.129,100,1342,16,0.088,4,48.9,1.193
MQ_007_senescent leaves,234.5,BAER,Waratah2003,9,BAER,senescent_leaves,senescent_leaves,leaves,dead,use,743,34,0.603,0.8,34,0.061,0.104,92,998,19,0.085,4,48.7,1.254
MQ_008_leaves,396.2,BOLE,Wilunga2012,1.4,BOLE_306,leaves,leaves,leaves,live,use,77,38,0.455,3,57,0.303,0.303,74,761,230,0.137,10,50.1,1.954
MQ_009_leaves,327.7,BOLE,Wilunga2012,1.4,BOLE_313,leaves,leaves,leaves,live,use,67,33,0.344,2.2,86,0.312,0.251,57,563,217,0.153,12,50.2,2.013
MQ_010_leaves,448.3,BOLE,Wilunga2012,1.4,BOLE_307,leaves,leaves,leaves,live,use,109,35,0.386,4,98,0.249,0.188,63,855,277,0.185,9,50.1,1.981
MQ_011_leaves,478,BOLE,Waratah2011,2.4,BOLE_155,leaves,leaves,leaves,live,use,55,36,0.296,2.6,54,0.24,0.2,59,1013,185,0.145,8,50.8,1.994
MQ_012_leaves,305.1,BOLE,Waratah2011,2.4,BOLE_156,leaves,leaves,leaves,live,use,49,17,0.296,3.2,55,0.209,0.165,45,1266,171,0.109,7,50.6,2.014
MQ_013_leaves,794.1,BOLE,Waratah2011,2.4,BOLE_157,leaves,leaves,leaves,live,use,41,33,0.327,2.5,45,0.208,0.239,116,529,223,0.132,11,50.5,1.971
MQ_014_leaves,318.2,BOLE,Basin2005,7,BOLE_003,leaves,leaves,leaves,live,use,76,39,0.69,1.9,119,0.177,0.366,143,1699,238,0.177,7,50.3,1.73
MQ_015_leaves,142.2,BOLE,Basin2005,7,BOLE_006,leaves,leaves,leaves,live,use,38,31,0.28,2.2,54,0.145,0.163,40,1022,235,0.116,7,50.2,1.81
MQ_016_leaves,331.4,BOLE,Basin2005,7,BOLE_008,leaves,leaves,leaves,live,use,67,29,0.504,1.7,93,0.181,0.416,134,1463,245,0.121,19,50.2,1.641
MQ_017_leaves,175.8,BOLE,Waratah2003,9,BOLE_801,leaves,leaves,leaves,live,use,30,44,0.151,2.8,25,0.186,0.504,1,517,290,0.151,11,50.9,2.045
MQ_018_leaves,161.4,BOLE,Waratah2003,9,BOLE_802,leaves,leaves,leaves,live,use,41,48,0.162,2.7,36,0.163,0.394,19,682,230,0.145,8,50.6,2.105
MQ_019_leaves,157.2,BOLE,Waratah2003,9,BOLE_807,leaves,leaves,leaves,live,use,67,49,0.56,2.1,88,0.122,0.539,50,300,174,0.127,12,50.7,1.974
MQ_020_senescent leaves,129.7,BOLE,Waratah2011,2.4,BOLE,senescent_leaves,senescent_leaves,leaves,dead,insufficient_sample_for_CN,86,40,0.662,1.6,77,0.128,0.385,150,1482,62,0.117,13,,
MQ_021_senescent leaves,124.5,BOLE,Wilunga2012,1.4,BOLE,senescent_leaves,senescent_leaves,leaves,dead,insufficient_sample_for_CN,63,24,0.645,1.4,62,0.113,0.272,97,2184,46,0.114,6,,
MQ_022_leaves,274.2,COER,Wilunga2012,1.4,COER_30A,leaves,leaves,leaves,live,use,279,25,0.475,2,24,0.208,0.175,42,1264,214,0.098,47,48.9,1.245
MQ_023_leaves,145.3,COER,Waratah2011,2.4,COER_153,leaves,leaves,leaves,live,use,264,48,0.317,1.8,20,0.251,0.301,150,1790,169,0.101,46,49.6,1.774
MQ_024_leaves,280.8,COER,Basin2005,7,COER_003,leaves,leaves,leaves,live,use,278,15,0.296,3.6,37,0.134,0.264,66,1394,167,0.116,17,50.6,1.268
MQ_025_leaves,114.1,COER,Waratah2003,9,COER_801,leaves,leaves,leaves,live,insufficient_sample_for_CN,242,50,0.38,2.7,94,0.139,0.273,3,712,199,0.121,16,,
MQ_026_senescent leaves,160.6,COER,Waratah2003,9,COER,senescent_leaves,senescent_leaves,leaves,dead,use,321,29,0.174,2.8,74,0.07,0.235,2,1791,48,0.127,19,49.7,1.341
MQ_027_senescent leaves,MORE,COER,Waratah2011,2.4,COER,senescent_leaves,senescent_leaves,leaves,dead,no_sample,,,,,,,,,,,,,,
MQ_028_leaves,144.3,EPMI,Wilunga2012,1.4,EPMI_30A,leaves,leaves,leaves,live,use,153,46,0.908,3.8,65,0.287,0.097,310,132,200,0.148,26,48.3,1.669
MQ_029_leaves,152.6,EPMI,Wilunga2012,1.4,EPMI_30B,leaves,leaves,leaves,live,use,32,48,1.285,4.7,16,0.233,0.173,333,122,190,0.125,16,48.6,1.753
MQ_030_leaves,150.1,EPMI,Wilunga2012,1.4,EPMI_30C,leaves,leaves,leaves,live,use,91,24,1.247,3.5,33,0.295,0.182,340,69,191,0.171,22,48.4,1.625
MQ_031_leaves,117.2,EPMI,Waratah2011,2.4,EPMI_151,leaves,leaves,leaves,live,insufficient_sample_for_CN,71,25,0.862,4.2,49,0.323,0.141,290,115,276,0.196,19,,
MQ_032_leaves,123.5,EPMI,Waratah2011,2.4,EPMI_153,leaves,leaves,leaves,live,use,35,35,1.084,4.4,34,0.463,0.089,857,69,372,0.291,17,50.5,1.871
MQ_033_leaves,160.7,EPMI,Waratah2011,2.4,EPMI_157,leaves,leaves,leaves,live,use,50,42,1.064,3.5,21,0.173,0.19,674,52,228,0.167,30,51.3,2.094
MQ_034_leaves,126,EPMI,Basin2005,7,EPMI_001,leaves,leaves,leaves,live,insufficient_sample_for_CN,120,51,1.431,4,84,0.254,0.136,1017,98,167,0.157,20,,
MQ_035_leaves,165.3,EPMI,Basin2005,7,EPMI_006,leaves,leaves,leaves,live,use,104,44,1.264,2.4,49,0.214,0.152,427,143,163,0.153,17,50.3,1.482
MQ_036_leaves,143.3,EPMI,Basin2005,7,EPMI_007,leaves,leaves,leaves,live,use,91,31,1.044,17.4,54,0.181,0.093,305,79,163,0.111,22,50.4,1.524
MQ_037_leaves,141.9,EPMI,Waratah2003,9,EPMI_802,leaves,leaves,leaves,live,use,83,36,0.716,3.3,34,0.184,0.149,174,40,140,0.128,17,51.6,1.403
MQ_038_leaves,299.9,EPMI,Waratah2003,9,EPMI_807,leaves,leaves,leaves,live,use,83,37,0.9,4.2,34,0.256,0.138,358,174,160,0.151,15,52.7,1.356
MQ_039_leaves,156.1,EPMI,Waratah2003,9,EPMI_808,leaves,leaves,leaves,live,use,79,52,0.97,4.4,35,0.211,0.261,373,75,167,0.138,26,51.5,1.409
MQ_040_leaves,200.9,EPMI,Basin1981,32,EPMI_901,leaves,leaves,leaves,live,use,140,31,0.924,8.4,103,0.148,0.092,384,205,147,0.137,23,52.5,1.159
MQ_041_leaves,219.8,EPMI,Basin1981,32,EPMI_905,leaves,leaves,leaves,live,use,65,49,0.699,3.7,57,0.229,0.169,428,179,160,0.172,11,51.7,1.264
MQ_042_leaves,167.9,EPMI,Basin1981,32,EPMI_906,leaves,leaves,leaves,live,use,78,26,0.826,3.5,97,0.147,0.109,204,116,124,0.151,14,51.6,1.205
MQ_043_senescent leaves,139,EPMI,Basin1981,32,EPMI,senescent_leaves,senescent_leaves,leaves,dead,use,100,11,0.969,2.3,86,0.098,0.09,385,371,87,0.129,17,52,1.248
MQ_044_senescent leaves,178.8,EPMI,Waratah2003,9,EPMI,senescent_leaves,senescent_leaves,leaves,dead,use,150,37,1.465,1.9,50,0.111,0.158,296,481,35,0.151,30,52.5,0.94
MQ_045_leaves,450.1,GRBU,Wilunga2012,1.4,GRBU_310,leaves,leaves,leaves,live,use,115,15,0.512,2.6,57,0.156,0.309,114,522,256,0.123,7,47.2,1.283
MQ_046_leaves,932.4,GRBU,Waratah2011,2.4,GRBU_157,leaves,leaves,leaves,live,use,157,14,0.851,2,51,0.112,0.214,431,643,191,0.097,8,48.7,1.088
MQ_047_leaves,691.3,GRBU,Basin2005,7,GRBU_002,leaves,leaves,leaves,live,use,237,56,0.472,2,157,0.156,0.203,93,1023,189,0.104,6,48,1.228
MQ_048_leaves,741.9,GRBU,Waratah2003,9,GRBU_802,leaves,leaves,leaves,live,use,105,24,0.404,1.6,52,0.117,0.149,59,1278,166,0.089,5,48.5,0.864
MQ_049_leaves,309.7,GRBU,Basin1981,32,GRBU_904,leaves,leaves,leaves,live,use,193,17,0.344,1.2,65,0.139,0.208,38,834,166,0.094,6,47.8,0.911
MQ_050_senescent leaves,193.4,GRBU,Waratah2003,9,GRBU,senescent_leaves,senescent_leaves,leaves,dead,use,354,23,0.564,0.8,116,0.052,0.277,33,718,39,0.097,6,48.6,0.762
MQ_051_senescent leaves,204.5,GRBU,Basin2005,7,GRBU,senescent_leaves,senescent_leaves,leaves,dead,use,364,17,0.5,1,173,0.104,0.197,19,1044,114,0.106,7,49.7,0.969
MQ_052_leaves,496.4,GRSP,Wilunga2012,1.4,GRSP_302,leaves,leaves,leaves,live,use,229,22,0.556,1.6,48,0.176,0.252,21,610,281,0.117,14,47.8,1.054
MQ_053_leaves,742.4,GRSP,Waratah2011,2.4,GRSP_155,leaves,leaves,leaves,live,use,151,25,0.276,2.1,38,0.183,0.193,28,689,187,0.096,9,48.3,1.12
MQ_054_leaves,604.5,GRSP,Basin2005,7,GRSP_003,leaves,leaves,leaves,live,use,162,22,0.352,1.6,80,0.266,0.185,13,961,212,0.131,8,50.6,1.092
