species,seed_size,embryo_endo_size,ovule_per_ovary,seed_units,seed_size_source,propagule_weight,pod_weight
BAER,204.979,120,2,mg,Wenk,,2069.93
BOLE,5.76,3.6828,4,mg,Wenk,,6.03
COER,1.065,0.8,1,mg,Wenk,2.279,
EPMI,0.0206,0.02,15,mg,Wenk,1.6838,
GRBU,53.366,31.234,2,mg,Wenk,,162.04
GRSP,23.361,10.961,2,mg,Wenk,,93.412
HATE,12.448,12.446,2,mg,Wenk,,366.447
HEPU,0.774,0.29716,4,mg,Henery,3.094,
LEES,3.899,0.8064,1,mg,Wenk_propagule,3.899,
PELA,121.214,12.328,1,mg,Wenk,411.3,
PEPU,5.096,3.2274,1,mg,Henery,6.459,
PHPH,2.722,1.7127,2,mg,Wenk,,2.717
PILI,0.7218,0.72,1,mg,Wenk,,0.498
PUTU,1.682,1.274,2,mg,Wenk,,2.56
