Individual,age,what,Census,count,weight,problem
BAER_902,32,cone_green_01,3,1,2053.731083,this turns into cone_brown_no_expanded_follicles in census 7
BAER_005,7,cone_green_01,2,1,3692.32033,same problem as BAER_902 (changing to cone brown or cone brown DEF)
BAER_806,9,cone_green_01,2,1,4361.07964,same problem as BAER_902 (changing to cone brown or cone brown DEF)
BAER_803,9,cone_green_01,2,1,4786.341169,same problem as BAER_902 (changing to cone brown or cone brown DEF)
BAER_905,32,cone_green_01,3,2,9054.646376,same problem as BAER_902 (changing to cone brown or cone brown DEF)
BAER_901,32,cone_green_01,3,1,29496.31585,same problem as BAER_902 (changing to cone brown or cone brown DEF)
BAER_803,9,fruit_young,6,13,3646.381818,this turns into 13 seeds
BAER_807,9,fruit_young,6,15,4207.363636,this turns into 15 seeds
BAER_906,32,fruit_young,6,70,19634.36364,this turns into 66 seeds
BAER_901,32,fruit_young,7,89,24963.69091,this turns into 87 seeds
EPMI,,,,,,NO ISSUES
BOLE,,,,,,NO ISSUES I SEE
