"","species","age","age2","replicate","site","tag_ID","d_start","d_end","length_start","new_length","segment","lvs_start_length","lvs_start_count","lvs_end_length","lvs_end_count","lvs_new_length","lvs_new_count","new_but_shed_count","mm_lvs_spec","count_lvs_spec","notes","dont_use","count_per_length","lvs_start","lvs_end","lvs_new","LL_death","LL_bd","LL_birth"
"1","BAER",7,7,"1","Basin2005","BAER_001",130,262,117,70,"N/A - bn 4&5",235,100,177,0,70,0,0,NA,NA,"","",1.37652946717336,423.48442478574,243.645715689685,96.3570627021353,2.35480129341648,1.85724739039611,4.39494950250653
"2","BAER",7,7,"2","Basin2005","BAER_002",179,337,188,128,"3",365,0,188,30,128,0,0,NA,NA,"","",1.37652946717336,502.433255518277,288.787539828592,176.19577179819,2.35171229105314,1.6650999486743,2.8515625
"3","BAER",7,7,"3","Basin2005","BAER_003",184,315,263,184,"4",559,0,300,4,184,0,0,NA,NA,"","",1.37652946717336,769.479972149909,416.958840152009,253.281421959899,2.18279105081987,1.60588741241961,3.03804347826087
"4","BAER",7,7,"4","Basin2005","BAER_004",170,437,158,138,"5",330,0,158,32,138,0,0,NA,NA,"","",1.37652946717336,454.254724167209,249.491655813391,189.961066469924,2.21844069743224,1.51547763408276,2.39130434782609
"5","BAER",7,7,"5","Basin2005","BAER_005",109,260,70,82,"5",351,0,195,14,82,0,0,NA,NA,"","",1.37652946717336,483.16184297785,282.423246098806,112.875416308216,2.40692049506045,1.87871834816029,4.28048780487805
"6","BAER",7,7,"6","Basin2005","BAER_006",156,265,156,114,"4",454,0,283,39,114,0,0,NA,NA,"","",1.37652946717336,624.944378096706,428.557839210061,156.924359257763,3.18221595858679,2.27377584829963,3.98245614035088
"7","BAER",7,7,"7","Basin2005","BAER_007",174,218,120,62,"5",320,90,120,64,62,0,0,NA,NA,"","",1.37652946717336,530.489429495476,229.183536060803,85.3448269647484,1.7606340966261,1.54221768881317,6.21583578480502
"8","BAER",1.4,1.4,"101","Waratah2011","BAER_101",222,318,185,110,"1",0,88,0,54,110,0,0,NA,NA,"counts of juvenile leaves","",1.37652946717336,88,54,151.41824138907,2.58823529411765,0.802121094790469,0.581171721403656
"9","BAER",1.4,1.4,"102","Waratah2011","BAER_102",100,239,68,62,"1",0,18,0,2,28,12,0,NA,NA,"counts of juvenile leaves","",1.37652946717336,18,2,50.5428250808541,1.125,0.43613724105925,0.356133634619852
"10","BAER",1.4,1.4,"103","Waratah2011","BAER_103",132,215,90,124,"1",0,22,0,12,124,0,0,NA,NA,"counts of juvenile leaves","",1.37652946717336,22,12,170.689653929497,2.2,0.230741411992221,0.128888889827424
